Ano,Código da Grande Região,Nome da Grande Região,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Nome do Município,Região Metropolitana,Código da Mesorregião,Nome da Mesorregião,Código da Microrregião,Nome da Microrregião,Código da Região Rural,Nome da Região Rural,Tipo da Região Rural,Código da Região Geográfica Imediata,Nome da Região Geográfica Imediata,Município da Região Geográfica Imediata,Código da Região Geográfica Intermediária,Nome da Região Geográfica Intermediária,Município da Região Geográfica Intermediária,Amazônia Legal,Semiárido,Código Concentração Urbana,Nome Concentração Urbana,Tipo Concentração Urbana,Código Arranjo Populacional,Nome Arranjo Populacional,Tipologia Rural-Urbana,Hierarquia Urbana,Hierarquia Urbana (principais categorias),Cidade-Região de São Paulo,"Valor adicionado bruto da Agropecuária, a preços correntes
(R$ 1.000)","Valor adicionado bruto da Indústria, a preços correntes
(R$ 1.000)","Valor adicionado bruto dos Serviços, a preços correntes - exclusive Administração, defesa, educação e saúde públicas e seguridade social
(R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social
(R$ 1.000)","Valor adicionado bruto total, a preços correntes
(R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos, a preços correntes
(R$ 1.000)","Produto Interno Bruto, a preços correntes
(R$ 1.000)","População
(Nº de habitantes)","Produto Interno Bruto per capita
(R$ 1,00)",Atividade com maior valor adicionado bruto,Atividade com segundo maior valor adicionado bruto,Atividade com terceiro maior valor adicionado bruto
2016,1,Norte,11,RO,Rondônia,1100015,Alta Floresta D'Oeste,,1102,Leste Rondoniense,11006,Cacoal,1101,Região Rural da Capital Regional de Porto Velho,Região Rural da Capital Regional,110005,Cacoal,do Entorno,1102,Ji-Paraná,do Entorno,Sim,Não,,,,,,Intermediário Adjacente,Centro Local,Centro Local,Não,"166,143 ","31,270 ","114,455 ","142,728 ","454,597 ","23,186 ","477,783 ","25,506 ",18732.17,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços
2016,1,Norte,11,RO,Rondônia,1100023,Ariquemes,,1102,Leste Rondoniense,11003,Ariquemes,1101,Região Rural da Capital Regional de Porto Velho,Região Rural da Capital Regional,110002,Ariquemes,Polo,1101,Porto Velho,do Entorno,Sim,Não,,,,,,Urbano,Centro Subregional B,Centro Subregional,Não,"145,069 ","353,163 ","879,967 ","589,089 ","1,967,287 ","216,096 ","2,183,383 ","105,896 ",20618.18,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2016,1,Norte,11,RO,Rondônia,1100031,Cabixi,,1102,Leste Rondoniense,11008,Colorado do Oeste,1101,Região Rural da Capital Regional de Porto Velho,Região Rural da Capital Regional,110006,Vilhena,do Entorno,1102,Ji-Paraná,do Entorno,Sim,Não,,,,,,Rural Adjacente,Centro Local,Centro Local,Não,"59,081 ","4,623 ","24,091 ","40,042 ","127,837 ","5,508 ","133,345 ","6,289 ",21202.96,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Agricultura, inclusive apoio à agricultura e a pós colheita"
2016,1,Norte,11,RO,Rondônia,1100049,Cacoal,,1102,Leste Rondoniense,11006,Cacoal,5105,Região Rural do Centro Sub-regional de Vilhena (RO) e Cacoal (RO),Região Rural do Centro Sub-regional,110005,Cacoal,Polo,1102,Ji-Paraná,do Entorno,Sim,Não,,,,,,Urbano,Centro Subregional B,Centro Subregional,Não,"188,005 ","230,109 ","846,490 ","485,242 ","1,749,846 ","194,940 ","1,944,787 ","87,877 ",22130.78,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2016,1,Norte,11,RO,Rondônia,1100056,Cerejeiras,,1102,Leste Rondoniense,11008,Colorado do Oeste,1101,Região Rural da Capital Regional de Porto Velho,Região Rural da Capital Regional,110006,Vilhena,do Entorno,1102,Ji-Paraná,do Entorno,Sim,Não,,,,,,Urbano,Centro de Zona B,Centro de Zona,Não,"52,891 ","22,445 ","175,060 ","99,496 ","349,892 ","58,156 ","408,048 ","17,959 ",22721.08,"Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços,Comércio e reparação de veículos automotores e motocicletas
2016,1,Norte,11,RO,Rondônia,1100064,Colorado do Oeste,,1102,Leste Rondoniense,11008,Colorado do Oeste,1101,Região Rural da Capital Regional de Porto Velho,Região Rural da Capital Regional,110006,Vilhena,do Entorno,1102,Ji-Paraná,do Entorno,Sim,Não,,,,,,Intermediário Adjacente,Centro Local,Centro Local,Não,"72,685 ","28,367 ","85,559 ","100,800 ","287,410 ","18,466 ","305,876 ","18,639 ",16410.55,"Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços,"Pecuária, inclusive apoio à pecuária"
2016,1,Norte,11,RO,Rondônia,1100072,Corumbiara,,1102,Leste Rondoniense,11008,Colorado do Oeste,1101,Região Rural da Capital Regional de Porto Velho,Região Rural da Capital Regional,110006,Vilhena,do Entorno,1102,Ji-Paraná,do Entorno,Sim,Não,,,,,,Rural Remoto,Centro Local,Centro Local,Não,"132,177 ","10,033 ","30,211 ","55,417 ","227,837 ","8,741 ","236,578 ","8,749 ",27040.6,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
2016,1,Norte,11,RO,Rondônia,1100080,Costa Marques,,1101,Madeira-Guaporé,11002,Guajará-Mirim,1101,Região Rural da Capital Regional de Porto Velho,Região Rural da Capital Regional,110004,Ji-Paraná,do Entorno,1102,Ji-Paraná,do Entorno,Sim,Não,,,,,,Rural Remoto,Centro Local,Centro Local,Não,"62,562 ","6,620 ","38,862 ","91,020 ","199,064 ","7,059 ","206,123 ","17,031 ",12102.82,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços
2016,1,Norte,11,RO,Rondônia,1100098,Espigão D'Oeste,,1102,Leste Rondoniense,11006,Cacoal,5105,Região Rural do Centro Sub-regional de Vilhena (RO) e Cacoal (RO),Região Rural do Centro Sub-regional,110005,Cacoal,do Entorno,1102,Ji-Paraná,do Entorno,Sim,Não,,,,,,Intermediário Adjacente,Centro Local,Centro Local,Não,"115,439 ","56,841 ","159,499 ","170,736 ","502,515 ","42,149 ","544,664 ","32,712 ",16650.27,"Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços,"Pecuária, inclusive apoio à pecuária"
2016,1,Norte,11,RO,Rondônia,1100106,Guajará-Mirim,,1101,Madeira-Guaporé,11002,Guajará-Mirim,1101,Região Rural da Capital Regional de Porto Velho,Região Rural da Capital Regional,110001,Porto Velho,do Entorno,1101,Porto Velho,do Entorno,Sim,Não,,,,1100106,Internacional de Guajará-Mirim/Brasil - Guayaramerín/Bolívia,Urbano,Centro de Zona B,Centro de Zona,Não,"49,929 ","29,241 ","313,116 ","250,772 ","643,058 ","97,102 ","740,160 ","47,048 ",15732.01,"Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços,Comércio e reparação de veículos automotores e motocicletas
2016,1,Norte,11,RO,Rondônia,1100114,Jaru,,1102,Leste Rondoniense,11004,Ji-Paraná,1101,Região Rural da Capital Regional de Porto Velho,Região Rural da Capital Regional,110003,Jaru,Polo,1101,Porto Velho,do Entorno,Sim,Não,,,,,,Urbano,Centro de Zona A,Centro de Zona,Não,"166,004 ","228,055 ","496,805 ","294,649 ","1,185,514 ","126,362 ","1,311,875 ","55,806 ",23507.78,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2016,1,Norte,11,RO,Rondônia,1100122,Ji-Paraná,,1102,Leste Rondoniense,11004,Ji-Paraná,1101,Região Rural da Capital Regional de Porto Velho,Região Rural da Capital Regional,110004,Ji-Paraná,Polo,1102,Ji-Paraná,Polo,Sim,Não,1100122,Ji-Paraná,Média concentração urbana considerada na análise - Município isolado,,,Urbano,Centro Subregional A,Centro Subregional,Não,"140,867 ","417,686 ","1,367,134 ","668,454 ","2,594,140 ","397,452 ","2,991,592 ","131,560 ",22739.38,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
